Informe Completo;;;;;;;;;;;;;;;
Tipo : Acciones;;;;;;;;;;;;;;;
Pais: EEUU;;;;;;;;;;;;;;;
Fecha de creación : 6/1/2022;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Nombre;Ref.;Ingresos Totales;;;;;;;;Rentabilidad sobre fondos propios TTM;;Precio/Venta TTM;;Recomendación;URL
;;fecha;monto;fecha;monto;fecha;monto;fecha;monto;Empresa;Industria;Empresa;Industria;;
Apple Inc;AAPL;2021- 25/09;83360;2021- 26/06;81434;2021- 27/03;89584;2020- 26/12;111439;42.65;40.6;7.84;16.22;-;https://es.investing.com/equities/apple-computer-inc
Microsoft Corporation;MSFT;2021- 30/09;45317;2021- 30/06;46152;2021- 31/03;41706;2020- 31/12;43076;27.94;13.95;13.48;29.76;-;https://es.investing.com/equities/microsoft-corp
Alphabet Inc Class C;GOOG;2021- 30/09;65118;2021- 30/06;61880;2021- 31/03;55314;2020- 31/12;56898;26.32;24.8;7.64;8.61;-;https://es.investing.com/equities/google-inc-c
Alphabet Inc Class A;GOOGL;2021- 30/09;65118;2021- 30/06;61880;2021- 31/03;55314;2020- 31/12;56898;26.32;24.8;7.64;8.61;-;https://es.investing.com/equities/google-inc
Amazon.com Inc;AMZN;2021- 30/09;110812;2021- 30/06;113080;2021- 31/03;108518;2020- 31/12;125555;11.96;10.7;3.64;5.99;-;https://es.investing.com/equities/amazon-com-inc
Tesla Inc;TSLA;2021- 30/09;13757;2021- 30/06;11958;2021- 31/03;10389;2020- 31/12;10744;10.39;5.24;23.33;5.548;Vender;https://es.investing.com/equities/tesla-motors
Meta Platforms Inc;FB;2021- 30/09;29010;2021- 30/06;29077;2021- 31/03;26171;2020- 31/12;28072;28.16;24.8;8.03;8.61;-;https://es.investing.com/equities/facebook-inc
Broadcom Mandatory Conv Pref;AVGOP;2021- 31/10;7407;2021- 01/08;6778;2021- 02/05;6610;2021- 31/01;6655;9.7;22.85;9.67;13.67;-;https://es.investing.com/equities/broadcom-mandatory-conv-pref
NVIDIA Corporation;NVDA;2021- 31/10;7103;2021- 01/08;6507;2021- 02/05;5661;2021- 31/01;5003;27.25;23.26;28.43;14.6;Vender;https://es.investing.com/equities/nvidia-corp
